category,screen,object,property,en,es,suggested_es,suggestion_from,similarity,internal_id
<HMI screen>,ENG_Automatic,Text field_12,Text,Enter Program Number,Ingrese número de programa,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zSFFhjTFjyHW7b/45mkzcSKdS+dEeYGcd9l9Ld+skVqopfg/zcJZMDJ67ksALTTZ3Ub5aqp3RJJf0JmzJu1pHMg==
<HMI screen>,ENG_Automatic,Button_2,Text OFF,Fast Run,Ciclo rápido,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zdZas3VfwE/HnlXw3bgY9fHa+pt+k8j8J8raMKbMzBL0Fvzn6ggk1u3z6uyN4fgK/k5ydGnOZiO4JnXw4gkDNew==
<HMI screen>,ENG_Automatic,Text field_4,Text,Feedrate:,Avance:,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5z4mkHWFx/aD4icYzLdV6hNaU3CqTlZrkiTtOjIZwxf+bGtMV81mJm9fDEMHUx0HSF9CPUmplcRA0mmzJFxcTm/w==
<HMI screen>,ENG_Automatic,Button_2,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zPoml2rBXm6+A/jsw7s21ZqFbs4wuQsxJ9mW5Exczs2bDQE65y9i5F9mtiT90XBCO77I9/iBrUcSLwqKZo65eZA==
<HMI screen>,ENG_Language,Template_Button_4,Text OFF,Auto,Auto,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5ztIbo7Hvu1g/wRTvy2uMYzkKeaiMP/k7ZuS5mCQL57Jvjyo+DISaDdzrmdF3ePSfkh6YRzRUOUnTIIE6C3qG9zA==
<HMI screen>,ENG_Language,Template_Button_5,Text OFF,Manual,Manual,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5z3pek1JdnAdoSLEKYnKar5n9NkF6fBDP9IHshcgY6qBCzn5M51txWVTQH9lMOfYldNundodMAP08PhBCOUb79dw==
<HMI screen>,ENG_Language,Start screen,Text OFF,Start screen,Pantalla inicial,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zPBbWMsrIlP3wbK1fbNLuy01x+soNKhF8pbxJy/JHkp07BEUvFitTmmJPBPFBdNMgbDe2BYWNGQkpgv44M2T3Zw==
<HMI screen>,ENG_Language,Start screen,Text ON,Start screen,Pantalla inicial,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zTEmfyy3/jpzcl1r8F/LsnNos5fEw3Bs29fUMiWpt/fk6yMKqYqi4+30O7Cxdzp9f0x7tTHbhKn2hVsrX4sjXEQ==
<HMI screen>,ENG_Manual,Button_17,Text OFF,MDI,MDI,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zupu4PBvvn+OHhtDsxYIHzS4J6QA9krkx0UNvGoNqaYOhLHou7O6rjw+rsutchoa/IVcTQGZnG9JcK8uj/PlWrw==
<HMI screen>,ENG_Manual,Button_16,Text OFF,Power,Potencia,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zpb36Q/fRdS3aZLItz8ik8DuN6Mwz8X3b+YYPAjzr6Ukbyspwf7LoKdIvM7+UHMIM67Ff6ibvM3q/BSvtjLuKzA==
<HMI screen>,ENG_Manual,Button_16,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zhWYn6WIqOIvYca5LbChbtZuPa/WHqJvcgnD6lqkzBGNAf+NZ0FkpdOXUgTr2BhX9fh90RlFUYI3rKXQfm9Uv8A==
<HMI screen>,ENG_Manual,Button_3,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zBGKfBN4yW5AJyWJ0Z2m/cqUl9P2/hRO4X6owMGwGHUVmQnH35lfeV8Pgu/bB5aa11lSgmTNxWnUQ+hq/j9YzTw==
<HMI screen>,ENG_Manual,Button_5,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zDeaGeegdG3PrChEp2lFgs3TGVhw+YU3bLNIwrTu8ZyN4t5DNPFWsSEfYkqKAb+EztNDQXBmlzRCBZ8FQ7i59nA==
<HMI screen>,ENG_Manual,Button_6,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zvFuAbmscSpdABH2AKlgNeHOEOWJzk/l682YGzKUq9xzzVxfMbORTVH5zuXQ81xjXTTQ8ZpcpKN6dYMpwda+KTQ==
<HMI screen>,ENG_Manual,Button_7,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zd/MYypJYyJ0c6bJFG+umdMUlNGcV42idnWWA3OkLkT974DbRNXzcfl/w09RiUEQnkfXhsaJYlGT9TQelQsb7KA==
<HMI screen>,ENG_Manual,Button_8,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5z/Go/0Zxss1kmPzW3sSV9NcSNpHGywBkmYRfgcKCH8OLztgxxEtYEUMl623b6QV3Z7rjZGWR0aSFPtxQCswU/NA==
<HMI screen>,ENG_Manual,Button_17,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zXmSOvysFNYUq68T2QVonIcM5sn9+XauwM60PW+rOPe2sw6lQ7NiRZXfoQLfv65WSZjB9h/2WSy1sG2/eSp6DKA==
<HMI screen>,ENG_Manual_Cyl,Button_17,Text OFF,MDI,MDI,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zaL0kmoMOortjsMXtQ4v7fpEd9/zHfJFS2opTM+dAsI0MQ0lluWIuossGrF+DmsIPS3uXwD7bQG7hS2IuqkRB0g==
<HMI screen>,ENG_Manual_Cyl,Button_5,Text OFF,PUSH,PULSAR,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5ztZeT4SaCKgoXoLisYFL96EQsOW4DYhxEmm4tj2ujUaEDId76tl7QBLa2YyUjEaeG3FE//cNdIjuuAGW/chjRUA==
<HMI screen>,ENG_Manual_Cyl,Button_16,Text OFF,Power,Potencia,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zsvHv9buCxH1stqQJhAUpiGz7gZlrtsjcakTOTrDguHZY3yOEXxOl+6r9gAjgB6zjSSveqmvjs1lnnZSBdZSjmg==
<HMI screen>,ENG_Manual_Cyl,Button_17,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zBDfmJ9XD/B7bTIDVpJh7hDImTX2SdiVfYu2GRU5ASMzu4B8qTo6AIIwPlxdOJZCDDR4L13FYzM7RfQp5NuA60A==
