list,key,key_dec,en,es
error,0x0001,1,X Axis: Move command failed,Eje X: fallo en comando de movimiento
error,0x0002,2,Z Axis: Move command failed,Eje Z: fallo en comando de movimiento
error,0x0003,3,X Axis: Homing failed,Eje X: fallo en referenciado
error,0x0004,4,Z Axis: Homing failed,Eje Z: fallo en referenciado
error,0x0005,5,Drive fault - check servo,Fallo en variador - revisar servo
error,0x0006,6,Tool Axis: Move failed,Eje herramienta: fallo de movimiento
error,0x0007,7,Tool Axis: Homing failed,Eje herramienta: fallo de referenciado
error,0x0008,8,Motion timeout - axis stuck,Tiempo de movimiento excedido - eje bloqueado
error,0x0009,9,X drive power failed,Fallo de potencia variador X
error,0x000A,10,Z drive power failed,Fallo de potencia variador Z
error,0x000B,11,Homing timeout - check ref switch,Tiempo de referenciado excedido - revisar sensor
error,0x000C,12,Drive ready timeout - check contactor/enable wiring,Tiempo de espera variador - revisar contactor/cableado
error,0x000D,13,Tool drive power failed,Fallo de potencia variador herramienta
error,0x0010,16,User pressed STOP,Operador presiono PARO
error,0x0012,18,ToolHeadLock: extend timeout - check cylinder/sensor,Bloqueo cabezal: tiempo de extension excedido - revisar cilindro/sensor
error,0x0021,33,X axis TO fault - check TO diagnostics,Fallo TO eje X - revisar diagnostico TO
error,0x0022,34,Z axis TO fault - check TO diagnostics,Fallo TO eje Z - revisar diagnostico TO
error,0x0023,35,Tool axis TO fault - check TO diagnostics,Fallo TO eje herramienta - revisar diagnostico TO
error,0x0024,36,Spindle TO fault - check TO diagnostics,Fallo TO husillo - revisar diagnostico TO
error,0x0101,257,X beyond MIN soft limit,X fuera de limite minimo
error,0x0102,258,X beyond MAX soft limit,X fuera de limite maximo
error,0x0103,259,Z beyond MIN soft limit,Z fuera de limite minimo
error,0x0104,260,Z beyond MAX soft limit,Z fuera de limite maximo
error,0x0121,289,PNP zone: X axis MIN proximity,Zona PNP: proximidad MIN Eje X
error,0x0122,290,PNP zone: X axis MAX proximity,Zona PNP: proximidad MAX Eje X
error,0x0123,291,PNP zone: Z axis MIN proximity,Zona PNP: proximidad MIN Eje Z
error,0x0124,292,PNP zone: Z axis MAX proximity,Zona PNP: proximidad MAX Eje Z
