1	X Axis: Move command failed
2	Z Axis: Move command failed
3	X Axis: Homing failed
4	Z Axis: Homing failed
5	Drive fault - check servo
6	Tool Axis: Move failed
7	Tool Axis: Homing failed
8	Motion timeout - axis stuck
9	X drive power failed
10	Z drive power failed
11	Homing timeout - check ref switch
12	Drive ready timeout - check contactor/enable wiring
13	Tool drive power failed
16	User pressed STOP
18	ToolHeadLock: extend timeout - check cylinder/sensor
33	X axis TO fault - check TO diagnostics
34	Z axis TO fault - check TO diagnostics
35	Tool axis TO fault - check TO diagnostics
36	Spindle TO fault - check TO diagnostics
257	X beyond MIN soft limit
258	X beyond MAX soft limit
259	Z beyond MIN soft limit
260	Z beyond MAX soft limit
289	PNP zone: X axis MIN proximity
290	PNP zone: X axis MAX proximity
291	PNP zone: Z axis MIN proximity
292	PNP zone: Z axis MAX proximity
513	Invalid tool number
514	Tool number out of range
515	Tool rotation timeout
516	Retract to tool pos failed
517	Tool rotation failed
518	Tool change timeout - check turret drive
769	Recipe: Invalid command
770	Recipe: Parse error
771	Recipe: Empty program
772	Recipe: Line count zero
773	PreScan: Path exceeds limits
774	Recipe: Invalid feedrate
775	Recipe: Motion timeout
776	Recipe: Invalid tool number
777	BackSupport cylinder error - target not reached
778	Spindle at-speed timeout (10s)
779	Spindle stop timeout (15s)
784	Recipe not loaded - check TotalLines
785	Recipe has no tool table - regenerate in CAM
786	Recipe load from load memory failed
787	Recipe data empty/corrupt - no END marker
788	Recipe copy did not land - re-import recipe DB
1025	EMERGENCY STOP ACTIVE!
1026	Safety door is open
1027	Drives not ready
1028	Air pressure too low
1029	Safety interlock active
1030	E-Stop contact discrepancy!
1281	Spindle: Power-on failed
1282	Spindle: Run command failed
1283	Spindle: Halt failed
1284	Spindle: Speed not reached
790	Recipe checksum mismatch - re-export and re-import
